,index,ChannelID,SiteIndex,X,Y,Z,DurationTime,AverageForce,MaxTemperature,MaxPower,BaseImpedance,ImpedanceDrop,FTI,RFIndex,TagIndexStatus,StartTs,EndTs,PresetName,PresetId,Comment,Site,Color,Seq
0,2842,0,1,-18.296,30.921999999999997,76.952,12.95,22.049,-10000.0,-10000.0,-10000.0,-10000.0,286.0,-10000.0,0,4027540,4075390,Preset,1,izquierda,izquierda,2.0,
1,2842,0,2,-12.263,29.421,80.184,6.2829999999999995,16.996,-10000.0,-10000.0,-10000.0,-10000.0,107.0,-10000.0,0,4027540,4075390,Preset,1,izquierda,,2.0,
2,2842,0,3,-18.875999999999998,33.917,81.527,21.116999999999997,20.334,-10000.0,-10000.0,-10000.0,-10000.0,429.0,-10000.0,0,4027540,4075390,Preset,1,izquierda,,2.0,
3,2842,0,4,-21.601,29.154,77.617,6.983,23.484,-10000.0,-10000.0,-10000.0,-10000.0,164.0,-10000.0,0,4027540,4075390,Preset,1,izquierda,,2.0,
4,2843,0,5,-15.469000000000001,26.842,79.238,6.9,17.096,-10000.0,-10000.0,-10000.0,-10000.0,118.0,-10000.0,0,4075940,4101040,Preset,1,,izquierda,2.0,
5,2843,0,6,-14.245999999999999,34.284,83.59700000000001,4.45,13.970999999999998,-10000.0,-10000.0,-10000.0,-10000.0,62.0,-10000.0,0,4075940,4101040,Preset,1,,izquierda,2.0,
6,2843,0,7,-19.659000000000002,39.535,84.806,9.133,14.314,-10000.0,-10000.0,-10000.0,-10000.0,131.0,-10000.0,0,4075940,4101040,Preset,1,,izquierda,6.0,7.0
7,2843,0,8,-24.029,35.61,80.428,4.1,26.572,-10000.0,-10000.0,-10000.0,-10000.0,109.0,-10000.0,0,4075940,4101040,Preset,1,,izquierda,6.0,11.0
8,2844,0,9,-18.081,30.432,78.623,5.767,24.366,-10000.0,-10000.0,-10000.0,-10000.0,141.0,-10000.0,0,4116990,4123290,Preset,1,,izquierda,2.0,
9,2845,0,10,-19.99,44.979,87.897,23.533,14.725,-10000.0,-10000.0,-10000.0,-10000.0,347.0,-10000.0,0,4142790,4179240,Preset,1,,izquierda,6.0,6.0
10,2845,0,11,-23.051,40.63,84.27600000000001,12.383,21.68,-10000.0,-10000.0,-10000.0,-10000.0,268.0,-10000.0,0,4142790,4179240,Preset,1,,izquierda,6.0,9.0
11,2846,0,12,-23.949,39.385999999999996,83.29299999999999,8.567,19.537,-10000.0,-10000.0,-10000.0,-10000.0,167.0,-10000.0,0,4181940,4191040,Preset,1,,izquierda,6.0,10.0
12,2847,0,13,-21.009,38.808,84.035,9.333,17.825,-10000.0,-10000.0,-10000.0,-10000.0,166.0,-10000.0,0,4191440,4237240,Preset,1,,izquierda,6.0,8.0
13,2847,0,14,-21.682,47.062,92.25200000000001,35.933,14.149000000000001,-10000.0,-10000.0,-10000.0,-10000.0,508.0,-10000.0,0,4191440,4237240,Preset,1,,izquierda,6.0,5.0
14,2848,0,15,-22.054000000000002,51.593999999999994,95.62,54.766999999999996,15.169,-10000.0,-10000.0,-10000.0,-10000.0,831.0,-10000.0,0,4282790,4338090,Preset,1,,izquierda,2.0,
15,2849,0,16,-21.164,51.881,95.94200000000001,22.217,5.114,-10000.0,-10000.0,-10000.0,-10000.0,114.0,-10000.0,0,4362290,4385040,Preset,1,,izquierda,2.0,
16,2850,0,17,-21.949,52.536,95.37700000000001,60.1,10.690999999999999,-10000.0,-10000.0,-10000.0,-10000.0,643.0,-10000.0,0,4545040,4634640,Preset,1,,izquierda,2.0,
17,2850,0,18,-14.809000000000001,46.534,95.514,3.617,5.5729999999999995,-10000.0,-10000.0,-10000.0,-10000.0,20.0,-10000.0,0,4545040,4634640,Preset,1,,izquierda,2.0,
18,2850,0,19,-15.435,37.588,94.30799999999999,12.617,6.954,-10000.0,-10000.0,-10000.0,-10000.0,88.0,-10000.0,0,4545040,4634640,Preset,1,,izquierda,6.0,2.0
19,2850,0,20,-19.158,42.042,96.619,7.3,8.213,-10000.0,-10000.0,-10000.0,-10000.0,60.0,-10000.0,0,4545040,4634640,Preset,1,,izquierda,6.0,3.0
20,2851,0,21,-17.537,43.336000000000006,96.527,118.617,7.973,-10000.0,-10000.0,-10000.0,-10000.0,946.0,-10000.0,0,4659340,4778490,Preset,1,,izquierda,6.0,4.0
21,2852,0,22,-12.550999999999998,38.695,99.713,3.667,3.032,-10000.0,-10000.0,-10000.0,-10000.0,11.0,-10000.0,0,4778840,4783040,Preset,1,,izquierda,7.0,32.0
22,2853,0,23,-23.788,32.213,83.92299999999999,23.816999999999997,12.595999999999998,-10000.0,-10000.0,-10000.0,-10000.0,300.0,-10000.0,0,4886890,4911240,Preset,1,,izquierda,6.0,12.0
23,2854,0,24,-18.384,28.521,81.736,14.317,11.554,-10000.0,-10000.0,-10000.0,-10000.0,165.0,-10000.0,0,4961990,4976840,Preset,1,,izquierda,6.0,13.0
24,2855,0,25,-15.755,25.448,81.722,19.75,7.907,-10000.0,-10000.0,-10000.0,-10000.0,156.0,-10000.0,0,4987290,5010790,Preset,1,,izquierda,2.0,
25,2855,0,26,-20.230999999999998,21.854,79.247,3.217,17.871,-10000.0,-10000.0,-10000.0,-10000.0,57.0,-10000.0,0,4987290,5010790,Preset,1,,izquierda,2.0,
26,2856,0,27,-16.864,25.081,80.812,10.667,6.794,-10000.0,-10000.0,-10000.0,-10000.0,72.0,-10000.0,0,5022790,5033990,Preset,1,,izquierda,6.0,14.0
